Date and Time:,2015-05-06 12:22:28.746
Player:,ADAM
 
Optimal Path,Actual Path
400.0,443.5
195.0,443.5
659.0,595.5
762.0,603.5
647.0,535.5
378.0,407.5
140.0,283.5
64.0,219.5
190.0,339.5
400.0,379.5
401.0,379.5
401.0,343.5
401.0,283.5
373.0,211.5
235.0,171.5
199.0,291.5
285.0,415.5
426.0,531.5
597.0,651.5
646.0,539.5
546.0,419.5
333.0,295.5
101.0,171.5
46.0,171.5
204.0,171.5
447.0,171.5
616.0,171.5
649.0,191.5
534.0,247.5
326.0,219.5
153.0,219.5
127.0,203.5
271.0,267.5
411.0,351.5
437.0,379.5
441.0,379.5
419.0,255.5
295.0,131.5
117.0,167.5
107.0,291.5
280.0,415.5
482.0,459.5
610.0,459.5
