Date and Time:,2015-05-06 12:18:05.543
Player:,Adam
 
Optimal Path,Actual Path
400.0,455.5
724.0,455.5
660.0,445.5
767.0,437.5
652.0,429.5
391.0,421.5
179.0,413.5
104.0,405.5
209.0,399.5
406.0,405.5
450.0,413.5
463.0,421.5
437.0,427.5
393.0,435.5
400.0,439.5
650.0,503.5
749.0,523.5
637.0,523.5
395.0,523.5
305.0,523.5
274.0,523.5
316.0,523.5
419.0,523.5
558.0,523.5
618.0,523.5
550.0,523.5
396.0,523.5
303.0,523.5
267.0,523.5
311.0,523.5
401.0,523.5
418.0,523.5
424.0,523.5
416.0,523.5
395.0,523.5
360.0,523.5
349.0,523.5
368.0,523.5
405.0,523.5
426.0,523.5
437.0,523.5
426.0,523.5
382.0,523.5
140.0,523.5
51.0,523.5
166.0,523.5
400.0,523.5
409.0,523.5
412.0,523.5
408.0,523.5
384.0,523.5
178.0,523.5
109.0,523.5
211.0,523.5
415.0,523.5
542.0,523.5
595.0,523.5
534.0,523.5
390.0,523.5
263.0,523.5
216.0,523.5
280.0,523.5
420.0,523.5
537.0,523.5
594.0,523.5
533.0,523.5
397.0,523.5
362.0,523.5
351.0,523.5
369.0,523.5
