Date and Time:,2015-05-11 01:10:40.227
Player:,Adam Cole
 
Optimal Path,Actual Path
400.0,239.5
332.0,239.5
470.0,395.5
497.0,447.5
464.0,423.5
383.0,419.5
268.0,291.5
233.0,167.5
299.0,91.5
409.0,223.5
451.0,347.5
460.0,459.5
433.0,579.5
326.0,451.5
99.0,323.5
60.0,407.5
232.0,335.5
463.0,379.5
614.0,503.5
633.0,619.5
510.0,515.5
380.0,451.5
348.0,427.5
346.0,299.5
378.0,307.5
451.0,419.5
541.0,387.5
543.0,491.5
455.0,479.5
355.0,399.5
301.0,359.5
307.0,331.5
368.0,295.5
416.0,363.5
437.0,435.5
436.0,463.5
413.0,443.5
350.0,367.5
297.0,331.5
304.0,331.5
369.0,387.5
443.0,411.5
494.0,523.5
489.0,563.5
430.0,467.5
369.0,347.5
336.0,223.5
342.0,103.5
382.0,48.5
488.0,144.5
578.0,264.5
561.0,384.5
448.0,504.5
216.0,368.5
58.0,296.5
107.0,352.5
336.0,416.5
532.0,376.5
647.0,310.5
608.0,334.5
445.0,396.5
256.0,314.5
157.0,134.5
205.0,106.5
374.0,164.5
505.0,226.5
566.0,288.5
527.0,348.5
413.0,406.5
164.0,464.5
38.0,356.5
124.0,252.5
381.0,252.5
543.0,288.5
620.0,416.5
564.0,484.5
410.0,420.5
266.0,296.5
206.0,192.5
266.0,192.5
402.0,268.5
461.0,396.5
486.0,516.5
458.0,648.5
381.0,600.5
220.0,480.5
166.0,352.5
252.0,224.5
431.0,344.5
647.0,464.5
716.0,584.5
588.0,620.5
370.0,500.5
262.0,376.5
238.0,256.5
313.0,152.5
449.0,144.5
625.0,272.5
668.0,388.5
543.0,520.5
314.0,504.5
85.0,380.5
44.0,296.5
216.0,296.5
451.0,372.5
589.0,420.5
614.0,468.5
511.0,496.5
379.0,400.5
331.0,312.5
325.0,272.5
364.0,248.5
430.0,368.5
504.0,496.5
514.0,516.5
456.0,516.5
324.0,404.5
181.0,404.5
169.0,316.5
300.0,316.5
451.0,396.5
553.0,444.5
558.0,440.5
465.0,484.5
362.0,466.5
312.0,400.5
316.0,340.5
373.0,178.5
407.0,126.5
508.0,186.5
541.0,246.5
488.0,308.5
365.0,370.5
187.0,350.5
143.0,182.5
258.0,240.5
415.0,302.5
518.0,362.5
551.0,442.5
493.0,558.5
368.0,530.5
208.0,402.5
166.0,374.5
264.0,374.5
418.0,374.5
580.0,426.5
635.0,458.5
548.0,458.5
396.0,438.5
378.0,326.5
373.0,278.5
383.0,270.5
400.0,326.5
474.0,454.5
502.0,574.5
471.0,694.5
392.0,606.5
281.0,490.5
240.0,370.5
296.0,250.5
417.0,150.5
654.0,270.5
741.0,398.5
622.0,446.5
375.0,370.5
156.0,250.5
87.0,130.5
208.0,82.5
405.0,158.5
439.0,286.5
449.0,402.5
429.0,506.5
343.0,402.5
144.0,286.5
95.0,266.5
224.0,278.5
414.0,374.5
487.0,426.5
508.0,426.5
462.0,426.5
371.0,418.5
269.0,298.5
244.0,160.5
313.0,136.5
413.0,196.5
452.0,258.5
461.0,318.5
431.0,382.5
348.0,442.5
224.0,290.5
210.0,118.5
314.0,178.5
425.0,152.5
