Date and Time:,2015-05-03_00:25:34.908
Player:,Enter your name here.
 
Optimal Path,Actual Path
400.0,481.5
598.0,595.5
674.0,574.5
579.0,452.5
375.0,331.5
206.0,253.5
157.0,343.5
259.0,439.5
400.0,529.5
594.0,616.5
674.0,579.5
588.0,462.5
394.0,341.5
327.0,253.5
305.0,346.5
342.0,436.5
400.0,529.5
631.0,622.5
718.0,528.5
613.0,414.5
390.0,291.5
274.0,251.5
235.0,272.5
292.0,344.5
400.0,437.5
655.0,530.5
751.0,620.5
641.0,596.5
387.0,474.5
223.0,356.5
169.0,227.5
254.0,306.5
400.0,399.5
579.0,492.5
646.0,579.5
565.0,477.5
392.0,394.5
303.0,459.5
273.0,436.5
317.0,463.5
400.0,556.5
566.0,598.5
635.0,578.5
561.0,578.5
383.0,578.5
