Date and Time:,2015-05-06 18:54:34.472
Player:,Enter your name here.
 
Optimal Path,Actual Path
412.0,471.5
193.0,471.5
51.0,471.5
127.0,471.5
372.0,471.5
442.0,471.5
467.0,471.5
451.0,480.5
403.0,489.5
322.0,474.5
284.0,459.5
315.0,444.5
397.0,429.5
632.0,417.5
747.0,432.5
652.0,447.5
401.0,441.5
296.0,426.5
254.0,411.5
299.0,408.5
407.0,402.5
605.0,402.5
683.0,402.5
590.0,405.5
396.0,420.5
348.0,435.5
332.0,423.5
358.0,408.5
404.0,393.5
464.0,408.5
486.0,423.5
456.0,423.5
399.0,423.5
394.0,432.5
393.0,447.5
400.0,462.5
511.0,498.5
556.0,498.5
507.0,459.5
398.0,381.5
378.0,360.5
372.0,360.5
382.0,363.5
410.0,408.5
481.0,444.5
504.0,453.5
463.0,369.5
359.0,276.5
190.0,186.5
144.0,159.5
253.0,255.5
432.0,342.5
551.0,438.5
577.0,480.5
498.0,393.5
381.0,333.5
330.0,312.5
321.0,312.5
359.0,354.5
443.0,444.5
669.0,522.5
727.0,522.5
581.0,555.5
350.0,273.5
197.0,182.5
169.0,237.5
281.0,436.5
464.0,486.5
579.0,590.5
647.0,595.5
570.0,542.5
385.0,196.5
186.0,196.5
121.0,196.5
223.0,265.5
402.0,381.5
415.0,298.5
420.0,306.5
413.0,309.5
378.0,333.5
191.0,315.5
127.0,219.5
233.0,249.5
403.0,339.5
418.0,396.5
425.0,396.5
417.0,396.5
392.0,336.5
292.0,243.5
259.0,249.5
314.0,342.5
432.0,432.5
581.0,525.5
650.0,450.5
567.0,444.5
396.0,357.5
368.0,330.5
360.0,330.5
375.0,360.5
422.0,432.5
624.0,525.5
687.0,615.5
576.0,540.5
395.0,549.5
372.0,528.5
365.0,528.5
379.0,528.5
404.0,528.5
432.0,525.5
441.0,438.5
425.0,438.5
381.0,363.5
284.0,270.5
258.0,267.5
318.0,333.5
440.0,426.5
584.0,519.5
613.0,477.5
514.0,384.5
338.0,294.5
195.0,201.5
173.0,177.5
287.0,264.5
441.0,354.5
551.0,444.5
573.0,519.5
492.0,429.5
352.0,339.5
224.0,246.5
205.0,276.5
308.0,267.5
520.0,360.5
728.0,321.5
739.0,414.5
547.0,450.5
264.0,357.5
69.0,264.5
80.0,174.5
281.0,264.5
523.0,354.5
700.0,447.5
701.0,537.5
517.0,528.5
264.0,618.5
86.0,708.5
92.0,636.5
279.0,549.5
442.0,459.5
502.0,453.5
500.0,453.5
436.0,396.5
260.0,303.5
108.0,213.5
126.0,231.5
305.0,321.5
416.0,384.5
437.0,384.5
436.0,384.5
414.0,384.5
384.0,384.5
365.0,384.5
368.0,384.5
390.0,396.5
576.0,387.5
730.0,480.5
678.0,570.5
452.0,477.5
196.0,387.5
57.0,294.5
132.0,219.5
373.0,198.5
434.0,195.5
456.0,249.5
445.0,237.5
407.0,327.5
198.0,240.5
80.0,147.5
162.0,213.5
383.0,303.5
442.0,393.5
462.0,387.5
445.0,426.5
401.0,399.5
224.0,306.5
152.0,336.5
233.0,249.5
406.0,324.5
494.0,300.5
530.0,387.5
487.0,408.5
380.0,321.5
134.0,228.5
53.0,153.5
187.0,246.5
400.0,339.5
513.0,429.5
560.0,519.5
510.0,462.5
398.0,531.5
356.0,594.5
341.0,579.5
361.0,579.5
422.0,579.5
550.0,579.5
611.0,558.5
545.0,510.5
397.0,420.5
330.0,327.5
307.0,309.5
341.0,402.5
420.0,471.5
540.0,537.5
593.0,585.5
529.0,528.5
394.0,435.5
316.0,426.5
288.0,465.5
329.0,393.5
428.0,486.5
557.0,561.5
616.0,540.5
545.0,486.5
395.0,393.5
358.0,321.5
345.0,321.5
365.0,354.5
400.0,396.5
596.0,489.5
670.0,579.5
586.0,501.5
398.0,414.5
354.0,378.5
