Date and Time:,2015-05-10 16:57:13.111
Player:,g
 
Optimal Path,Actual Path
400.0,439.5
429.0,439.5
565.0,399.5
626.0,399.5
545.0,695.5
396.0,631.5
372.0,511.5
364.0,403.5
378.0,363.5
400.0,347.5
403.0,235.5
404.0,207.5
403.0,315.5
392.0,411.5
258.0,523.5
212.0,463.5
283.0,399.5
400.0,399.5
400.0,399.5
400.0,399.5
400.0,399.5
337.0,399.5
352.0,375.5
395.0,317.5
408.0,261.5
422.0,203.5
423.0,233.5
409.0,291.5
303.0,349.5
167.0,407.5
171.0,461.5
316.0,523.5
519.0,491.5
686.0,431.5
680.0,371.5
497.0,391.5
284.0,357.5
163.0,327.5
184.0,281.5
338.0,227.5
451.0,217.5
526.0,221.5
526.0,231.5
449.0,293.5
319.0,255.5
221.0,259.5
235.0,317.5
355.0,377.5
418.0,393.5
440.0,329.5
438.0,271.5
412.0,333.5
265.0,383.5
138.0,451.5
172.0,491.5
342.0,471.5
469.0,343.5
543.0,227.5
531.0,259.5
438.0,371.5
275.0,479.5
168.0,595.5
201.0,691.5
352.0,614.5
540.0,514.5
682.0,410.5
650.0,298.5
465.0,338.5
214.0,398.5
65.0,398.5
120.0,398.5
345.0,398.5
402.0,398.5
403.0,398.5
403.0,506.5
400.0,534.5
390.0,486.5
384.0,450.5
387.0,466.5
398.0,404.5
487.0,364.5
539.0,368.5
502.0,388.5
403.0,394.5
396.0,460.5
395.0,510.5
396.0,546.5
401.0,404.5
561.0,312.5
624.0,252.5
548.0,318.5
386.0,342.5
266.0,394.5
227.0,474.5
294.0,528.5
420.0,334.5
547.0,124.5
583.0,180.5
509.0,248.5
339.0,326.5
112.0,396.5
57.0,432.5
207.0,232.5
445.0,228.5
642.0,304.5
685.0,382.5
559.0,440.5
343.0,500.5
198.0,588.5
172.0,576.5
280.0,512.5
476.0,452.5
706.0,432.5
754.0,412.5
590.0,536.5
319.0,652.5
127.0,596.5
105.0,484.5
259.0,376.5
487.0,264.5
693.0,280.5
724.0,404.5
554.0,528.5
331.0,648.5
199.0,642.5
191.0,514.5
306.0,378.5
527.0,314.5
743.0,326.5
754.0,430.5
546.0,430.5
354.0,430.5
304.0,378.5
312.0,318.5
374.0,186.5
411.0,218.5
469.0,354.5
486.0,498.5
449.0,614.5
359.0,498.5
213.0,370.5
176.0,242.5
272.0,126.5
449.0,182.5
572.0,226.5
640.0,286.5
565.0,398.5
390.0,394.5
141.0,318.5
52.0,274.5
174.0,226.5
405.0,310.5
450.0,434.5
472.0,554.5
450.0,554.5
394.0,490.5
237.0,434.5
182.0,370.5
258.0,308.5
418.0,348.5
569.0,408.5
632.0,468.5
551.0,524.5
366.0,592.5
144.0,560.5
80.0,374.5
211.0,194.5
400.0,212.5
647.0,238.5
740.0,296.5
628.0,352.5
383.0,406.5
164.0,430.5
91.0,370.5
206.0,306.5
433.0,366.5
653.0,392.5
717.0,418.5
588.0,450.5
387.0,468.5
341.0,404.5
331.0,296.5
361.0,164.5
419.0,208.5
486.0,316.5
502.0,420.5
454.0,568.5
259.0,624.5
108.0,444.5
135.0,308.5
321.0,188.5
555.0,324.5
690.0,428.5
654.0,452.5
458.0,452.5
264.0,388.5
166.0,352.5
212.0,340.5
369.0,340.5
445.0,352.5
482.0,472.5
469.0,580.5
415.0,648.5
358.0,520.5
330.0,408.5
344.0,356.5
392.0,356.5
569.0,296.5
705.0,188.5
656.0,276.5
448.0,388.5
369.0,288.5
349.0,164.5
360.0,104.5
394.0,104.5
421.0,104.5
434.0,86.5
427.0,108.5
402.0,176.5
195.0,144.5
86.0,144.5
