Date and Time:,2015-05-06 06:14:36.032
Player:,null
 
Optimal Path,Actual Path
400.0,523.5
250.0,523.5
544.0,539.5
601.0,479.5
537.0,355.5
397.0,343.5
367.0,343.5
356.0,355.5
371.0,391.5
429.0,515.5
625.0,631.5
688.0,627.5
582.0,595.5
382.0,595.5
272.0,595.5
240.0,595.5
301.0,479.5
414.0,451.5
536.0,527.5
577.0,471.5
512.0,367.5
358.0,323.5
144.0,323.5
90.0,323.5
221.0,327.5
424.0,387.5
509.0,383.5
530.0,315.5
469.0,431.5
335.0,315.5
161.0,191.5
136.0,219.5
275.0,343.5
452.0,371.5
563.0,391.5
577.0,443.5
480.0,411.5
287.0,479.5
93.0,419.5
82.0,295.5
260.0,327.5
404.0,383.5
414.0,383.5
415.0,383.5
406.0,447.5
342.0,523.5
242.0,467.5
241.0,343.5
338.0,407.5
437.0,455.5
491.0,455.5
490.0,391.5
435.0,331.5
315.0,251.5
204.0,215.5
215.0,251.5
341.0,303.5
539.0,311.5
671.0,303.5
634.0,303.5
450.0,303.5
231.0,303.5
107.0,331.5
155.0,383.5
353.0,427.5
499.0,455.5
563.0,455.5
524.0,455.5
412.0,395.5
361.0,359.5
341.0,359.5
356.0,387.5
398.0,455.5
501.0,459.5
550.0,459.5
509.0,459.5
399.0,459.5
128.0,459.5
